"Product","Author","ContributionCount","FileCount"
"prod.alpha","Alice Example","10","8"
"prod.alpha","Bob Example","5","5"
"prod.alpha","Carol Contributor","8","7"
"prod.alpha","David Dev","6","6"
"prod.alpha","Eve Sample","3","2"
"prod.beta","Charlie Demo","7","6"
"prod.beta","Alice Example","3","2"
"prod.beta","Bob Example","4","3"
"prod.beta","Dana Test","2","2"
"prod.beta","Frank Dummy","1","1"
"prod.gamma","Dana Test","12","10"
"prod.gamma","Eve Sample","4","4"
"prod.gamma","Frank Dummy","2","2"
"prod.gamma","Grace Hopper","5","4"
"prod.gamma","Heidi Helper","3","3"
"prod.gamma","Alice Example","2","2"
"prod.delta","Ivan Inspector","9","8"
"prod.delta","Judy Judge","7","6"
"prod.delta","Karl Keeper","5","5"
"prod.delta","Laura Lead","4","4"
"prod.delta","Mallory Maintainer","2","2"
"prod.delta","Bob Example","3","2"
"prod.epsilon","Nina Newbie","6","5"
"prod.epsilon","Oscar Owner","4","4"
"prod.epsilon","Peggy Producer","3","3"
"prod.epsilon","Quentin Quality","2","2"
"prod.epsilon","Ruth Reviewer","1","1"
"prod.epsilon","Dana Test","2","2"
"prod.zeta","Sam Support","8","7"
"prod.zeta","Trudy Tester","6","5"
"prod.zeta","Uma User","4","4"
"prod.zeta","Victor Validator","2","2"
"prod.zeta","Wendy Worker","1","1"
"prod.zeta","Carol Contributor","2","2"
Since=2025-01-01,Until=2025-06-23
